CustomerID,CustomerName,Region,SignupDate
C0001,Customer 1,Asia,2023-03-04
C0002,Customer 2,South America,2023-12-18
C0003,Customer 3,North America,2023-08-19
C0004,Customer 4,Asia,2023-08-29
C0005,Customer 5,Asia,2023-02-21
C0006,Customer 6,South America,2023-04-06
C0007,Customer 7,North America,2023-08-10
C0008,Customer 8,North America,2023-08-19
C0009,Customer 9,Asia,2023-08-25
C0010,Customer 10,Europe,2023-05-23
C0011,Customer 11,Asia,2023-06-20
C0012,Customer 12,Asia,2023-01-29
C0013,Customer 13,Asia,2023-02-05
C0014,Customer 14,Asia,2023-01-13
C0015,Customer 15,South America,2023-06-09
C0016,Customer 16,North America,2023-11-23
C0017,Customer 17,South America,2023-07-06
C0018,Customer 18,South America,2023-08-31
C0019,Customer 19,South America,2023-03-27
C0020,Customer 20,Asia,2023-10-11
C0021,Customer 21,Europe,2023-03-07
C0022,Customer 22,North America,2023-06-19
C0023,Customer 23,Europe,2023-02-14
C0024,Customer 24,South America,2023-03-03
C0025,Customer 25,South America,2023-05-14
C0026,Customer 26,Europe,2023-10-11
C0027,Customer 27,Europe,2023-01-28
C0028,Customer 28,Europe,2023-04-18
C0029,Customer 29,South America,2023-02-13
C0030,Customer 30,South America,2023-12-06
C0031,Customer 31,North America,2023-10-13
C0032,Customer 32,North America,2023-11-27
C0033,Customer 33,South America,2023-05-08
C0034,Customer 34,Europe,2023-12-14
C0035,Customer 35,Europe,2023-08-19
C0036,Customer 36,North America,2023-07-09
C0037,Customer 37,South America,2023-08-13
C0038,Customer 38,North America,2023-10-10
C0039,Customer 39,North America,2023-05-01
C0040,Customer 40,Asia,2023-04-26
C0041,Customer 41,Asia,2023-08-21
C0042,Customer 42,Asia,2023-09-16
C0043,Customer 43,Europe,2023-12-25
C0044,Customer 44,South America,2023-07-17
C0045,Customer 45,South America,2023-05-17
C0046,Customer 46,South America,2023-11-14
C0047,Customer 47,South America,2023-06-14
C0048,Customer 48,Asia,2023-08-13
C0049,Customer 49,Europe,2023-11-03
C0050,Customer 50,Europe,2023-08-22
C0051,Customer 51,Asia,2023-06-21
C0052,Customer 52,Europe,2023-06-01
C0053,Customer 53,Asia,2023-11-11
C0054,Customer 54,South America,2023-06-09
C0055,Customer 55,Asia,2023-04-06
C0056,Customer 56,South America,2023-08-21
C0057,Customer 57,South America,2023-06-29
C0058,Customer 58,North America,2023-04-23
C0059,Customer 59,Asia,2023-11-14
C0060,Customer 60,North America,2023-02-21
C0061,Customer 61,Asia,2023-09-25
C0062,Customer 62,Asia,2023-10-22
C0063,Customer 63,North America,2023-04-23
C0064,Customer 64,North America,2023-04-11
C0065,Customer 65,Asia,2023-04-23
C0066,Customer 66,Europe,2023-03-22
C0067,Customer 67,South America,2023-07-06
C0068,Customer 68,North America,2023-04-23
C0069,Customer 69,South America,2023-01-02
C0070,Customer 70,Europe,2023-05-10
C0071,Customer 71,Europe,2023-08-08
C0072,Customer 72,Europe,2023-02-23
C0073,Customer 73,North America,2023-12-09
C0074,Customer 74,Europe,2023-08-12
C0075,Customer 75,North America,2023-08-13
C0076,Customer 76,Europe,2023-05-06
C0077,Customer 77,South America,2023-05-10
C0078,Customer 78,South America,2023-02-22
C0079,Customer 79,Asia,2023-06-21
C0080,Customer 80,South America,2023-08-06
C0081,Customer 81,Asia,2023-06-09
C0082,Customer 82,South America,2023-07-17
C0083,Customer 83,North America,2023-09-04
C0084,Customer 84,South America,2023-11-20
C0085,Customer 85,Asia,2023-07-22
C0086,Customer 86,Asia,2023-07-03
C0087,Customer 87,Europe,2023-05-03
C0088,Customer 88,North America,2023-09-12
C0089,Customer 89,South America,2023-10-21
C0090,Customer 90,Europe,2023-10-07
C0091,Customer 91,South America,2023-11-21
C0092,Customer 92,South America,2023-04-08
C0093,Customer 93,Europe,2023-07-17
C0094,Customer 94,Europe,2023-08-28
C0095,Customer 95,Europe,2023-05-24
C0096,Customer 96,Europe,2023-04-07
C0097,Customer 97,Europe,2023-07-20
C0098,Customer 98,South America,2023-05-04
C0099,Customer 99,Europe,2023-07-06
C0100,Customer 100,North America,2023-11-22
C0101,Customer 101,Asia,2023-12-15
C0102,Customer 102,Europe,2023-09-16
C0103,Customer 103,Europe,2023-05-28
C0104,Customer 104,South America,2023-09-09
C0105,Customer 105,Europe,2023-12-12
C0106,Customer 106,Europe,2023-05-27
C0107,Customer 107,Europe,2023-05-28
C0108,Customer 108,South America,2023-12-18
C0109,Customer 109,Europe,2023-07-18
C0110,Customer 110,Asia,2023-11-04
C0111,Customer 111,South America,2023-05-08
C0112,Customer 112,Asia,2023-02-08
C0113,Customer 113,South America,2023-12-04
C0114,Customer 114,Europe,2023-12-26
C0115,Customer 115,Asia,2023-05-09
C0116,Customer 116,South America,2023-09-24
C0117,Customer 117,North America,2023-05-31
C0118,Customer 118,Europe,2023-10-25
C0119,Customer 119,South America,2023-04-09
C0120,Customer 120,North America,2023-09-20
C0121,Customer 121,South America,2023-09-09
C0122,Customer 122,North America,2023-05-24
C0123,Customer 123,Europe,2023-12-12
C0124,Customer 124,Asia,2023-04-22
C0125,Customer 125,North America,2023-03-01
C0126,Customer 126,South America,2023-01-02
C0127,Customer 127,Europe,2023-10-31
C0128,Customer 128,North America,2023-09-11
C0129,Customer 129,South America,2023-05-20
C0130,Customer 130,South America,2023-02-06
C0131,Customer 131,South America,2023-06-09
C0132,Customer 132,North America,2023-01-09
C0133,Customer 133,North America,2023-08-21
C0134,Customer 134,North America,2023-04-09
C0135,Customer 135,Asia,2023-05-27
C0136,Customer 136,North America,2023-10-31
C0137,Customer 137,North America,2023-07-27
C0138,Customer 138,North America,2023-05-11
C0139,Customer 139,Asia,2023-06-01
C0140,Customer 140,North America,2023-02-23
C0141,Customer 141,South America,2023-04-30
C0142,Customer 142,North America,2023-06-10
C0143,Customer 143,South America,2023-04-26
C0144,Customer 144,South America,2023-03-16
C0145,Customer 145,South America,2023-04-23
C0146,Customer 146,Asia,2023-04-14
C0147,Customer 147,Asia,2023-12-06
C0148,Customer 148,Asia,2023-09-11
C0149,Customer 149,North America,2023-08-15
C0150,Customer 150,South America,2023-04-22
C0151,Customer 151,Asia,2023-04-09
C0152,Customer 152,Asia,2023-06-02
C0153,Customer 153,North America,2023-12-15
C0154,Customer 154,Asia,2023-12-04
C0155,Customer 155,North America,2023-07-13
C0156,Customer 156,Europe,2023-11-06
C0157,Customer 157,Asia,2023-06-12
C0158,Customer 158,Europe,2023-07-27
C0159,Customer 159,North America,2023-06-18
C0160,Customer 160,South America,2023-06-10
C0161,Customer 161,Asia,2023-03-09
C0162,Customer 162,North America,2023-10-16
C0163,Customer 163,South America,2023-10-04
C0164,Customer 164,South America,2023-10-31
C0165,Customer 165,Europe,2023-05-15
C0166,Customer 166,North America,2023-07-14
C0167,Customer 167,South America,2023-05-08
C0168,Customer 168,Asia,2023-02-02
C0169,Customer 169,Asia,2023-06-25
C0170,Customer 170,Europe,2023-01-22
C0171,Customer 171,South America,2023-08-26
C0172,Customer 172,North America,2023-06-07
C0173,Customer 173,Asia,2023-02-07
C0174,Customer 174,South America,2023-08-18
C0175,Customer 175,South America,2023-12-31
C0176,Customer 176,Europe,2023-02-20
C0177,Customer 177,Asia,2023-09-21
C0178,Customer 178,Asia,2023-10-10
C0179,Customer 179,North America,2023-01-27
C0180,Customer 180,Asia,2023-08-14
C0181,Customer 181,North America,2023-10-04
C0182,Customer 182,Asia,2023-10-13
C0183,Customer 183,Europe,2023-04-07
C0184,Customer 184,Asia,2023-10-11
C0185,Customer 185,North America,2023-11-13
C0186,Customer 186,North America,2023-10-31
C0187,Customer 187,Europe,2023-05-27
C0188,Customer 188,Asia,2023-01-04
C0189,Customer 189,Asia,2023-02-04
C0190,Customer 190,Europe,2023-07-11
C0191,Customer 191,Asia,2023-02-18
C0192,Customer 192,Asia,2023-01-17
C0193,Customer 193,North America,2023-06-21
C0194,Customer 194,Asia,2023-08-08
C0195,Customer 195,Asia,2023-06-07
C0196,Customer 196,Europe,2023-02-15
C0197,Customer 197,Europe,2023-01-06
C0198,Customer 198,South America,2023-04-09
C0199,Customer 199,North America,2023-08-21
C0200,Customer 200,Asia,2023-02-06
